description,entry
No gender,Sex-based and Non-sex-based Gender Systems 1
OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase 1
No case affixes or adpositional clitics,Position of Case Affixes 9
No SONegV,SONegV Order 8
SVO,"Order of Subject, Object and Verb 2"
[V-Neg],Order of Negative Morpheme and Verb 4
No m in first person singular,M in First Person Singular 1
Subject affixes on verb,Expression of Pronominal Subjects 2
SV,Order of Subject and Verb 1
6-7 categories per word,Inflectional Synthesis of the Verb 4
"All nouns, always obligatory",Occurrence of Nominal Plurality 6
No possessive affixes,Position of Pronominal Possessive Affixes 4
None,Postverbal Negative Morphemes 4
All present,Absence of Common Consonants 1
NegV,Order of Negative Morpheme and Verb 1
"Laterals, but no /l/, no obstruent laterals",Lateral Consonants 3
NegV,Preverbal Negative Morphemes 1
Maximal system,Imperative-Hortative Systems 1
No dominant order,Order of Genitive and Noun 3
Genitive-Noun,Order of Genitive and Noun 1
Related to non-remote demonstratives,Third Person Pronouns and Demonstratives 4
None reported,Number of Possessive Nouns 1
NoDoubleNeg,SNegOV Order 1
Accusative,Alignment of Verbal Person Marking 2
Noun-Numeral,Order of Numeral and Noun 2
Case suffixes,Position of Case Affixes 1
No perfect,The Perfect 4
No person marking,Person Marking on Adpositions 2
Noun-Relative clause (NRel) dominant,Postnominal relative clauses 1
Noun-Relative clause,Order of Relative Clause and Noun 1
SOV,"Order of Subject, Object and Verb 1"
Low,Consonant-Vowel Ratio 1
Fixed stress (no weight-sensitivity),Weight-Sensitive Stress 8
Little affixation,Prefixing vs. Suffixing in Inflectional Morphology 1
Long vowel or coda consonant,Weight Factors in Weight-Sensitive Stress Systems 4
Noun-Adjective,Order of Adjective and Noun 2
A precedes P,Order of Person Markers on the Verb 2
Predicate negation also present,Negative Indefinite Pronouns and Predicate Negation 1
Different,Hand and Arm 2
None,Minor morphological means of signaling negation 4
Moderately large,Consonant Inventories 4
More than one position,"Position of Negative Word With Respect to Subject, Object, and Verb 16"
None,Front Rounded Vowels 1
Noun-Genitive,Order of Genitive and Noun 2
OV and RelN,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun 1
Small,Consonant Inventories 1
Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions 2
No inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection 3
High,Consonant-Vowel Ratio 5
Identity,Nominal and Verbal Conjunction 1
No gender distinctions,Gender Distinctions in Independent Personal Pronouns 6
VNeg,Postverbal Negative Morphemes 1
Other,Action Nominal Constructions 5
Deranked,Reason Clauses 3
Final,Position of Polar Question Particles 2
No action nominals,Action Nominal Constructions 8
Overlap for either possibility or necessity,Overlap between Situational and Epistemic Modal Marking 2
No case marking,Case Syncretism 1
None,Uvular Consonants 1
Identical,Intensifiers and Reflexive Pronouns 1
Impossible,Zero Copula for Predicate Nominals 1
Different,Nominal and Locational Predication 1
m in first person singular,M in First Person Singular 2
[Neg-V],Preverbal Negative Morphemes 2
No weight,Weight Factors in Weight-Sensitive Stress Systems 1
Identical,Pronominal and Adnominal Demonstratives 1
Other,Voicing and Gaps in Plosive Systems 1
None (= no suppletive imperatives reported in the reference material),Suppletion in Imperatives and Hortatives 5
Pronouns and nouns,Person Marking on Adpositions 4
Desiderative particle,'Want' Complement Subjects 5
Neutral,Alignment of Case Marking of Full Noun Phrases 1
Lexical stress,Weight Factors in Weight-Sensitive Stress Systems 6
Differentiation,Comitatives and Instrumentals 2
Question particle,Polar Questions 1
"End, not immed postverbal",Position of negative words relative to beginning and end of clause and with respect to adjacency to verb 6
