,name,latitude,longitude,count
156,Romanian,46.0,25.0,40
157,Romansch (Scharans),46.75,9.5,6
158,Rukai (Tanan),22.83333333,120.83333329999999,20
159,Sa'ban,3.666666667,115.66666670000001,7
160,Selknam,-53.0,-70.0,25
161,Senadi,9.5,-6.25,7
162,Shan,22.0,98.0,13
163,Sinhala,7.0,80.5,15
164,Sirionó,-15.58333333,-64.0,14
165,Somali,3.0,45.0,32
166,Spanish,40.0,-4.0,65
167,Supyire,11.5,-5.583333333,59
168,Sáliba (in Colombia),6.0,-70.0,9
169,Tama,14.5,22.0,13
170,Tamang (Eastern),27.5,85.66666667,20
171,Tampulma,10.41666667,-0.583333333,6
172,Teke (Southern),-2.333333333,14.5,7
173,Thai,16.0,101.0,111
174,Tiwi,-11.5,131.0,69
175,Tlapanec,17.08333333,-99.0,24
176,Tol,14.66666667,-87.0,19
177,Trumai,-11.91666667,-53.58333333,37
178,Tuareg (Ahaggar),23.0,6.0,11
179,Tukang Besi,-5.5,123.5,70
180,Tulu,12.75,75.33333333,11
181,Turkish,39.0,35.0,46
182,Tuvan,52.0,95.0,24
183,Tzeltal (Aguacatenango),16.41666667,-92.5,6
184,UMbundu,-12.5,15.0,8
185,Una,-4.666666667,140.0,30
186,Uzbek (Northern),40.66666667,66.5,5
187,Vietnamese,10.5,106.5,143
188,Wichita,33.33333333,-97.33333333,38
189,Wichí,-22.5,-62.58333333,58
190,Wiyot,40.83333333,-124.16666670000001,18
191,Wu,31.66666667,119.91666670000001,9
192,Yakut,62.0,130.0,16
193,Yana,40.5,-122.0,6
194,Yapese,9.583333332999999,138.16666669999998,33
195,Yay,22.41666667,104.75,17
196,Yucatec,20.0,-89.0,11
197,Yukaghir (Kolyma),65.75,150.83333330000002,43
198,Yukaghir (Tundra),69.0,155.0,11
199,Zande,4.0,26.0,16
200,Zuni,35.08333333,-108.83333329999999,37
201,Akawaio,6.0,-59.5,7
202,Alamblak,-4.666666667,143.33333330000002,40
203,Amharic,10.0,38.0,32
204,Andoke,-0.666666667,-72.0,8
205,Angas,9.5,9.5,33
206,Apinayé,-5.5,-48.0,14
207,Arapesh (Mountain),-3.4666666669999997,143.16666669999998,55
208,Awngi,10.83333333,36.66666667,8
209,Bagirmi,11.66666667,16.0,69
210,Bai,26.0,100.0,35
211,Bakairí,-14.0,-55.0,6
212,Bariba,10.0,2.5,6
213,Bashkir,53.0,58.0,11
214,Batak (Karo),3.25,98.25,64
215,Bengali,24.0,90.0,17
216,Bororo,-16.0,-57.0,20
217,Burmese,21.0,96.0,65
218,Canela,-7.0,-45.0,54
219,Cayuvava,-13.5,-65.5,39
220,Chinantec (Quiotepec),17.58333333,-96.66666667,25
221,Dani (Lower Grand Valley),-4.333333333,138.83333330000002,34
222,Drehu,-21.0,167.25,63
223,Dumo,-2.683333333,141.3,27
224,Efik,4.916666667,8.5,14
225,Epena Pedee,3.0,-77.0,41
226,Ewe,6.333333333,0.41666666700000005,62
227,Ewondo,4.0,12.0,29
228,Fe'fe',5.25,10.16666667,7
229,Finnish,62.0,25.0,63
230,Fuzhou,26.0,119.5,8
231,Gbeya Bossangoa,6.666666667,17.5,35
232,Gelao,22.91666667,105.5,21
233,Gã,5.666666667,-0.166666667,17
234,Hamtai,-7.5,146.25,20
235,Hungarian,47.0,20.0,63
