area,title,description,entry
Word Order,Order of Degree Word and Adjective,Adjective-Degree word,Order of Degree Word and Adjective 2
Word Order,Order of Degree Word and Adjective,Degree word-Adjective,Order of Degree Word and Adjective 1
Word Order,Order of Degree Word and Adjective,No dominant order,Order of Degree Word and Adjective 3
Word Order,Order of Demonstrative and Noun,Demonstrative before and after Noun,Order of Demonstrative and Noun 5
Word Order,Order of Demonstrative and Noun,Demonstrative prefix,Order of Demonstrative and Noun 3
Word Order,Order of Demonstrative and Noun,Demonstrative suffix,Order of Demonstrative and Noun 4
Word Order,Order of Demonstrative and Noun,Demonstrative-Noun,Order of Demonstrative and Noun 1
Word Order,Order of Demonstrative and Noun,Mixed,Order of Demonstrative and Noun 6
Word Order,Order of Demonstrative and Noun,Noun-Demonstrative,Order of Demonstrative and Noun 2
Word Order,Order of Genitive and Noun,Genitive-Noun,Order of Genitive and Noun 1
Word Order,Order of Genitive and Noun,No dominant order,Order of Genitive and Noun 3
Word Order,Order of Genitive and Noun,Noun-Genitive,Order of Genitive and Noun 2
Word Order,Order of Negative Morpheme and Verb,[Neg-V],Order of Negative Morpheme and Verb 3
Word Order,Order of Negative Morpheme and Verb,[V-Neg],Order of Negative Morpheme and Verb 4
Word Order,Order of Negative Morpheme and Verb,Negative Tone,Order of Negative Morpheme and Verb 5
Word Order,Order of Negative Morpheme and Verb,NegV,Order of Negative Morpheme and Verb 1
Word Order,Order of Negative Morpheme and Verb,ObligDoubleNeg,Order of Negative Morpheme and Verb 14
Word Order,Order of Negative Morpheme and Verb,OptDoubleNeg,Order of Negative Morpheme and Verb 15
Word Order,Order of Negative Morpheme and Verb,OptSingleNeg,Order of Negative Morpheme and Verb 13
Word Order,Order of Negative Morpheme and Verb,OptTripleNeg&ObligDoubleNeg,Order of Negative Morpheme and Verb 16
Word Order,Order of Negative Morpheme and Verb,OptTripleNeg&OptDoubleNeg,Order of Negative Morpheme and Verb 17
Word Order,Order of Negative Morpheme and Verb,Type 1 / Type 2,Order of Negative Morpheme and Verb 6
Word Order,Order of Negative Morpheme and Verb,Type 1 / Type 3,Order of Negative Morpheme and Verb 7
Word Order,Order of Negative Morpheme and Verb,Type 1 / Type 4,Order of Negative Morpheme and Verb 8
Word Order,Order of Negative Morpheme and Verb,Type 2 / Type 3,Order of Negative Morpheme and Verb 9
Word Order,Order of Negative Morpheme and Verb,Type 2 / Type 4,Order of Negative Morpheme and Verb 10
Word Order,Order of Negative Morpheme and Verb,Type 3 / Negative Infix,Order of Negative Morpheme and Verb 12
Word Order,Order of Negative Morpheme and Verb,Type 3 / Type 4,Order of Negative Morpheme and Verb 11
Word Order,Order of Negative Morpheme and Verb,VNeg,Order of Negative Morpheme and Verb 2
Word Order,Order of Numeral and Noun,No dominant order,Order of Numeral and Noun 3
Word Order,Order of Numeral and Noun,Noun-Numeral,Order of Numeral and Noun 2
Word Order,Order of Numeral and Noun,Numeral only modifies verb,Order of Numeral and Noun 4
Word Order,Order of Numeral and Noun,Numeral-Noun,Order of Numeral and Noun 1
Word Order,Order of Object and Verb,No dominant order,Order of Object and Verb 3
Word Order,Order of Object and Verb,OV,Order of Object and Verb 1
Word Order,Order of Object and Verb,VO,Order of Object and Verb 2
Word Order,"Order of Object, Oblique, and Verb",No dominant order,"Order of Object, Oblique, and Verb 6"
Word Order,"Order of Object, Oblique, and Verb",OVX,"Order of Object, Oblique, and Verb 5"
Word Order,"Order of Object, Oblique, and Verb",OXV,"Order of Object, Oblique, and Verb 4"
Word Order,"Order of Object, Oblique, and Verb",VOX,"Order of Object, Oblique, and Verb 1"
Word Order,"Order of Object, Oblique, and Verb",XOV,"Order of Object, Oblique, and Verb 3"
Word Order,"Order of Object, Oblique, and Verb",XVO,"Order of Object, Oblique, and Verb 2"
Word Order,Order of Relative Clause and Noun,Adjoined,Order of Relative Clause and Noun 5
Word Order,Order of Relative Clause and Noun,Correlative,Order of Relative Clause and Noun 4
Word Order,Order of Relative Clause and Noun,Doubly headed,Order of Relative Clause and Noun 6
Word Order,Order of Relative Clause and Noun,Internally headed,Order of Relative Clause and Noun 3
Word Order,Order of Relative Clause and Noun,Mixed,Order of Relative Clause and Noun 7
Word Order,Order of Relative Clause and Noun,Noun-Relative clause,Order of Relative Clause and Noun 1
Word Order,Order of Relative Clause and Noun,Relative clause-Noun,Order of Relative Clause and Noun 2
Word Order,Order of Subject and Verb,No dominant order,Order of Subject and Verb 3
Word Order,Order of Subject and Verb,SV,Order of Subject and Verb 1
Word Order,Order of Subject and Verb,VS,Order of Subject and Verb 2
Word Order,"Order of Subject, Object and Verb",No dominant order,"Order of Subject, Object and Verb 7"
Word Order,"Order of Subject, Object and Verb",OSV,"Order of Subject, Object and Verb 6"
Word Order,"Order of Subject, Object and Verb",OVS,"Order of Subject, Object and Verb 5"
Word Order,"Order of Subject, Object and Verb",SOV,"Order of Subject, Object and Verb 1"
Word Order,"Order of Subject, Object and Verb",SVO,"Order of Subject, Object and Verb 2"
Word Order,"Order of Subject, Object and Verb",VOS,"Order of Subject, Object and Verb 4"
Word Order,"Order of Subject, Object and Verb",VSO,"Order of Subject, Object and Verb 3"
Word Order,Position of Interrogative Phrases in Content Questions,Initial interrogative phrase,Position of Interrogative Phrases in Content Questions 1
Word Order,Position of Interrogative Phrases in Content Questions,Mixed,Position of Interrogative Phrases in Content Questions 3
Word Order,Position of Interrogative Phrases in Content Questions,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions 2
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",More than one position,"Position of Negative Word With Respect to Subject, Object, and Verb 16"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",MorphNeg,"Position of Negative Word With Respect to Subject, Object, and Verb 20"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",NegSOV,"Position of Negative Word With Respect to Subject, Object, and Verb 5"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",NegSVO,"Position of Negative Word With Respect to Subject, Object, and Verb 1"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",NegVOS,"Position of Negative Word With Respect to Subject, Object, and Verb 12"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",NegVSO,"Position of Negative Word With Respect to Subject, Object, and Verb 9"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",ObligDoubleNeg,"Position of Negative Word With Respect to Subject, Object, and Verb 18"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",ONegVS,"Position of Negative Word With Respect to Subject, Object, and Verb 13"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",OptDoubleNeg,"Position of Negative Word With Respect to Subject, Object, and Verb 19"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",OptSingleNeg,"Position of Negative Word With Respect to Subject, Object, and Verb 17"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",OSVNeg,"Position of Negative Word With Respect to Subject, Object, and Verb 15"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",Other,"Position of Negative Word With Respect to Subject, Object, and Verb 21"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",OVNegS,"Position of Negative Word With Respect to Subject, Object, and Verb 14"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",SNegOV,"Position of Negative Word With Respect to Subject, Object, and Verb 6"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",SNegVO,"Position of Negative Word With Respect to Subject, Object, and Verb 2"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",SONegV,"Position of Negative Word With Respect to Subject, Object, and Verb 7"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",SOVNeg,"Position of Negative Word With Respect to Subject, Object, and Verb 8"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",SVNegO,"Position of Negative Word With Respect to Subject, Object, and Verb 3"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",SVONeg,"Position of Negative Word With Respect to Subject, Object, and Verb 4"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",VSNegO,"Position of Negative Word With Respect to Subject, Object, and Verb 10"
Word Order,"Position of Negative Word With Respect to Subject, Object, and Verb",VSONeg,"Position of Negative Word With Respect to Subject, Object, and Verb 11"
Word Order,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,"Beginning, not immed preverbal",Position of negative words relative to beginning and end of clause and with respect to adjacency to verb 1
Word Order,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,"End, not immed postverbal",Position of negative words relative to beginning and end of clause and with respect to adjacency to verb 6
Word Order,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Immed postverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb 4
Word Order,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb 3
Word Order,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,"Postverbal, not immed or end",Position of negative words relative to beginning and end of clause and with respect to adjacency to verb 5
Word Order,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,"Preverbal, not beginning or immed",Position of negative words relative to beginning and end of clause and with respect to adjacency to verb 2
Word Order,Position of Polar Question Particles,Final,Position of Polar Question Particles 2
Word Order,Position of Polar Question Particles,In either of two positions,Position of Polar Question Particles 5
Word Order,Position of Polar Question Particles,Initial,Position of Polar Question Particles 1
Word Order,Position of Polar Question Particles,No question particle,Position of Polar Question Particles 6
Word Order,Position of Polar Question Particles,Other position,Position of Polar Question Particles 4
Word Order,Position of Polar Question Particles,Second position,Position of Polar Question Particles 3
Word Order,Postnominal relative clauses,Noun-Relative clause (NRel) dominant,Postnominal relative clauses 1
Word Order,Postnominal relative clauses,NRel or correlative,Postnominal relative clauses 4
Word Order,Postnominal relative clauses,NRel or internally-headed,Postnominal relative clauses 3
Word Order,Postnominal relative clauses,NRel or RelN,Postnominal relative clauses 2
Word Order,Postverbal Negative Morphemes,[V-Neg],Postverbal Negative Morphemes 2
Word Order,Postverbal Negative Morphemes,None,Postverbal Negative Morphemes 4
Word Order,Postverbal Negative Morphemes,VNeg,Postverbal Negative Morphemes 1
Word Order,Postverbal Negative Morphemes,VNeg&[V-Neg],Postverbal Negative Morphemes 3
Word Order,Prenominal relative clauses,Relative clause-Noun (RelN) dominant,Prenominal relative clauses 1
Word Order,Prenominal relative clauses,RelN or correlative,Prenominal relative clauses 4
Word Order,Prenominal relative clauses,RelN or double-headed,Prenominal relative clauses 5
Word Order,Prenominal relative clauses,RelN or internally-headed,Prenominal relative clauses 3
Word Order,Prenominal relative clauses,RelN or NRel,Prenominal relative clauses 2
Word Order,Preverbal Negative Morphemes,[Neg-V],Preverbal Negative Morphemes 2
Word Order,Preverbal Negative Morphemes,NegV,Preverbal Negative Morphemes 1
Word Order,Preverbal Negative Morphemes,NegV&[Neg-V],Preverbal Negative Morphemes 3
Word Order,Preverbal Negative Morphemes,None,Preverbal Negative Morphemes 4
Word Order,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Other,Relationship between the Order of Object and Verb and the Order of Adjective and Noun 5
Word Order,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,OV and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun 1
Word Order,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,OV and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun 2
Word Order,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,VO and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun 3
Word Order,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,VO and NAdj,Relationship between the Order of Object and Verb and the Order of Adjective and Noun 4
Word Order,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Other,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase 5
Word Order,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase 1
Word Order,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,OV and Prepositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase 2
Word Order,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,VO and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase 3
Word Order,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,VO and Prepositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase 4
Word Order,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Other,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun 5
Word Order,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,OV and NRel,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun 2
Word Order,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,OV and RelN,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun 1
Word Order,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,VO and NRel,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun 4
Word Order,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,VO and RelN,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun 3
Word Order,SNegOV Order,No SNegOV,SNegOV Order 4
Word Order,SNegOV Order,NoDoubleNeg,SNegOV Order 1
Word Order,SNegOV Order,OnlyWithAnotherNeg,SNegOV Order 3
Word Order,SNegOV Order,OptDoubleNeg,SNegOV Order 2
Word Order,SNegVO Order,No SNegVO,SNegVO Order 8
Word Order,SNegVO Order,Prefix&NoDoubleNeg,SNegVO Order 2
Word Order,SNegVO Order,Prefix&OnlyWithAnotherNeg,SNegVO Order 6
Word Order,SNegVO Order,Prefix&OptDoubleNeg,SNegVO Order 4
Word Order,SNegVO Order,Type 1 / Type 2,SNegVO Order 7
Word Order,SNegVO Order,Word&NoDoubleNeg,SNegVO Order 1
Word Order,SNegVO Order,Word&OnlyWithAnotherNeg,SNegVO Order 5
Word Order,SNegVO Order,Word&OptDoubleNeg,SNegVO Order 3
Word Order,SONegV Order,No SONegV,SONegV Order 8
Word Order,SONegV Order,Prefix&NoDoubleNeg,SONegV Order 2
Word Order,SONegV Order,Prefix&OnlyWithAnotherNeg,SONegV Order 6
Word Order,SONegV Order,Prefix&OptDoubleNeg,SONegV Order 4
Word Order,SONegV Order,Type 1 / Type 2,SONegV Order 7
Word Order,SONegV Order,Word&NoDoubleNeg,SONegV Order 1
Word Order,SONegV Order,Word&OnlyWithAnotherNeg,SONegV Order 5
Word Order,SONegV Order,Word&OptDoubleNeg,SONegV Order 3
Word Order,SOVNeg Order,NoSOVNeg,SOVNeg Order 11
Word Order,SOVNeg Order,Suffix&NoDoubleNeg,SOVNeg Order 2
Word Order,SOVNeg Order,Suffix&OnlyWithAnotherNeg,SOVNeg Order 6
Word Order,SOVNeg Order,Suffix&OptDoubleNeg,SOVNeg Order 4
Word Order,SOVNeg Order,Type 1 / Type 2,SOVNeg Order 7
Word Order,SOVNeg Order,Type 1 / Type 6,SOVNeg Order 8
Word Order,SOVNeg Order,Type 5 / Type 4,SOVNeg Order 9
Word Order,SOVNeg Order,Type 5 / Type 6,SOVNeg Order 10
Word Order,SOVNeg Order,Word&NoDoubleNeg,SOVNeg Order 1
Word Order,SOVNeg Order,Word&OnlyWithAnotherNeg,SOVNeg Order 5
Word Order,SOVNeg Order,Word&OptDoubleNeg,SOVNeg Order 3
Word Order,SVNegO Order,No SVNegO,SVNegO Order 7
Word Order,SVNegO Order,Suffix&NoDoubleNeg,SVNegO Order 2
Word Order,SVNegO Order,Suffix&OnlyWithAnotherNeg,SVNegO Order 6
Word Order,SVNegO Order,Suffix&OptDoubleNeg,SVNegO Order 4
Word Order,SVNegO Order,Word&NoDoubleNeg,SVNegO Order 1
Word Order,SVNegO Order,Word&OnlyWithAnotherNeg,SVNegO Order 5
Word Order,SVNegO Order,Word&OptDoubleNeg,SVNegO Order 3
Word Order,SVONeg Order,No SVONeg,SVONeg Order 4
Word Order,SVONeg Order,NoDoubleNeg,SVONeg Order 1
Word Order,SVONeg Order,OnlyWithAnotherNeg,SVONeg Order 3
Word Order,SVONeg Order,OptDoubleNeg,SVONeg Order 2
Word Order,The Position of Negative Morphemes in Object-Initial Languages,NegOVS/NegSOV,The Position of Negative Morphemes in Object-Initial Languages 8
Word Order,The Position of Negative Morphemes in Object-Initial Languages,O[Neg-V]S/NegSVO,The Position of Negative Morphemes in Object-Initial Languages 10
Word Order,The Position of Negative Morphemes in Object-Initial Languages,O[Neg-V-Neg]S,The Position of Negative Morphemes in Object-Initial Languages 6
Word Order,The Position of Negative Morphemes in Object-Initial Languages,O[V-Neg]S,The Position of Negative Morphemes in Object-Initial Languages 4
Word Order,The Position of Negative Morphemes in Object-Initial Languages,O[V-Neg]S/SO[V-Neg],The Position of Negative Morphemes in Object-Initial Languages 9
Word Order,The Position of Negative Morphemes in Object-Initial Languages,ONegVS,The Position of Negative Morphemes in Object-Initial Languages 1
Word Order,The Position of Negative Morphemes in Object-Initial Languages,OS(Neg)[V(-Neg)],The Position of Negative Morphemes in Object-Initial Languages 5
Word Order,The Position of Negative Morphemes in Object-Initial Languages,OSVNeg,The Position of Negative Morphemes in Object-Initial Languages 3
Word Order,The Position of Negative Morphemes in Object-Initial Languages,OVNegS,The Position of Negative Morphemes in Object-Initial Languages 2
Word Order,The Position of Negative Morphemes in Object-Initial Languages,OVNegS/SOVNeg,The Position of Negative Morphemes in Object-Initial Languages 7
Word Order,The Position of Negative Morphemes in Object-Initial Languages,OVS & NegV,The Position of Negative Morphemes in Object-Initial Languages 11
Word Order,The Position of Negative Morphemes in SOV Languages,More than one construction,The Position of Negative Morphemes in SOV Languages 15
Word Order,The Position of Negative Morphemes in SOV Languages,NegSOV,The Position of Negative Morphemes in SOV Languages 1
Word Order,The Position of Negative Morphemes in SOV Languages,ObligDoubleNeg,The Position of Negative Morphemes in SOV Languages 16
Word Order,The Position of Negative Morphemes in SOV Languages,OptDoubleNeg,The Position of Negative Morphemes in SOV Languages 17
Word Order,The Position of Negative Morphemes in SOV Languages,Other NegV,The Position of Negative Morphemes in SOV Languages 14
Word Order,The Position of Negative Morphemes in SOV Languages,SNegOV,The Position of Negative Morphemes in SOV Languages 2
Word Order,The Position of Negative Morphemes in SOV Languages,SO[Neg-V],The Position of Negative Morphemes in SOV Languages 5
Word Order,The Position of Negative Morphemes in SOV Languages,SO[V-Neg],The Position of Negative Morphemes in SOV Languages 6
Word Order,The Position of Negative Morphemes in SOV Languages,SONegV,The Position of Negative Morphemes in SOV Languages 3
Word Order,The Position of Negative Morphemes in SOV Languages,SOVNeg,The Position of Negative Morphemes in SOV Languages 4
Word Order,The Position of Negative Morphemes in SOV Languages,SV&OV&[Neg-V],The Position of Negative Morphemes in SOV Languages 20
Word Order,The Position of Negative Morphemes in SOV Languages,SV&OV&[V-Neg],The Position of Negative Morphemes in SOV Languages 21
Word Order,The Position of Negative Morphemes in SOV Languages,SV&OV&ImmedPreverbal,The Position of Negative Morphemes in SOV Languages 22
Word Order,The Position of Negative Morphemes in SOV Languages,SV&OV&InitialNeg,The Position of Negative Morphemes in SOV Languages 23
Word Order,The Position of Negative Morphemes in SOV Languages,SV&OV&NegV,The Position of Negative Morphemes in SOV Languages 18
Word Order,The Position of Negative Morphemes in SOV Languages,SV&OV&VNeg,The Position of Negative Morphemes in SOV Languages 19
Word Order,The Position of Negative Morphemes in SOV Languages,SVO but SNegOV,The Position of Negative Morphemes in SOV Languages 7
Word Order,The Position of Negative Morphemes in SOV Languages,SVO but SO[Neg-V],The Position of Negative Morphemes in SOV Languages 11
Word Order,The Position of Negative Morphemes in SOV Languages,SVO but SO[V-Neg],The Position of Negative Morphemes in SOV Languages 10
Word Order,The Position of Negative Morphemes in SOV Languages,SVO but SONegV,The Position of Negative Morphemes in SOV Languages 8
Word Order,The Position of Negative Morphemes in SOV Languages,SVO but SOVNeg,The Position of Negative Morphemes in SOV Languages 9
Word Order,The Position of Negative Morphemes in SOV Languages,SVO/SOV but SNegOV,The Position of Negative Morphemes in SOV Languages 12
Word Order,The Position of Negative Morphemes in SOV Languages,SVO/SOV but SOVNeg,The Position of Negative Morphemes in SOV Languages 13
Word Order,The Position of Negative Morphemes in SVO Languages,More than one construction,The Position of Negative Morphemes in SVO Languages 13
Word Order,The Position of Negative Morphemes in SVO Languages,NegSVO,The Position of Negative Morphemes in SVO Languages 1
Word Order,The Position of Negative Morphemes in SVO Languages,ObligNeg,The Position of Negative Morphemes in SVO Languages 14
Word Order,The Position of Negative Morphemes in SVO Languages,OptNeg,The Position of Negative Morphemes in SVO Languages 15
Word Order,The Position of Negative Morphemes in SVO Languages,Other NegV,The Position of Negative Morphemes in SVO Languages 11
Word Order,The Position of Negative Morphemes in SVO Languages,Other VNeg,The Position of Negative Morphemes in SVO Languages 12
Word Order,The Position of Negative Morphemes in SVO Languages,S[Neg-V]O,The Position of Negative Morphemes in SVO Languages 5
Word Order,The Position of Negative Morphemes in SVO Languages,S[V-Neg]O,The Position of Negative Morphemes in SVO Languages 6
Word Order,The Position of Negative Morphemes in SVO Languages,SNegVO,The Position of Negative Morphemes in SVO Languages 2
Word Order,The Position of Negative Morphemes in SVO Languages,SOV/SOV but SNegVO,The Position of Negative Morphemes in SVO Languages 10
Word Order,The Position of Negative Morphemes in SVO Languages,SVNegO,The Position of Negative Morphemes in SVO Languages 3
Word Order,The Position of Negative Morphemes in SVO Languages,SVO&Tone,The Position of Negative Morphemes in SVO Languages 7
Word Order,The Position of Negative Morphemes in SVO Languages,SVO/SOV but SVONeg,The Position of Negative Morphemes in SVO Languages 9
Word Order,The Position of Negative Morphemes in SVO Languages,SVONeg,The Position of Negative Morphemes in SVO Languages 4
Word Order,The Position of Negative Morphemes in SVO Languages,VSO but NegSVO,The Position of Negative Morphemes in SVO Languages 8
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,[Neg-V]OS,The Position of Negative Morphemes in Verb-Initial Languages 9
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,[Neg-V]OS/S[Neg-V]O,The Position of Negative Morphemes in Verb-Initial Languages 18
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,[Neg-V]SO,The Position of Negative Morphemes in Verb-Initial Languages 8
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,[V-Neg] & VS &VO,The Position of Negative Morphemes in Verb-Initial Languages 11
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,[V-Neg]OS,The Position of Negative Morphemes in Verb-Initial Languages 10
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,NegV & VOS/SVO,The Position of Negative Morphemes in Verb-Initial Languages 20
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,NegV & VS & VO,The Position of Negative Morphemes in Verb-Initial Languages 6
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,NegV & VSO/SVO,The Position of Negative Morphemes in Verb-Initial Languages 19
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,NegVOS,The Position of Negative Morphemes in Verb-Initial Languages 4
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,NegVOS/[Neg-V]OS,The Position of Negative Morphemes in Verb-Initial Languages 13
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,NegVOS/NegSVO,The Position of Negative Morphemes in Verb-Initial Languages 16
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,NegVOS/SNegVO,The Position of Negative Morphemes in Verb-Initial Languages 17
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,NegVSO,The Position of Negative Morphemes in Verb-Initial Languages 1
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,NegVSO/[Neg-V]SO,The Position of Negative Morphemes in Verb-Initial Languages 12
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,NegVSO/NegVOS,The Position of Negative Morphemes in Verb-Initial Languages 5
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,NegVSO/SNegVO,The Position of Negative Morphemes in Verb-Initial Languages 14
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,ObligDoubleNeg,The Position of Negative Morphemes in Verb-Initial Languages 22
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,OptDoubleNeg,The Position of Negative Morphemes in Verb-Initial Languages 23
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,OptSingleNeg,The Position of Negative Morphemes in Verb-Initial Languages 21
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,SVO but NegVSO,The Position of Negative Morphemes in Verb-Initial Languages 7
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,VSNegO,The Position of Negative Morphemes in Verb-Initial Languages 2
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,VSONeg,The Position of Negative Morphemes in Verb-Initial Languages 3
Word Order,The Position of Negative Morphemes in Verb-Initial Languages,VSONeg/SVONeg,The Position of Negative Morphemes in Verb-Initial Languages 15
Word Order,Verb-Initial with Clause-Final Negative,No clause-final neg,Verb-Initial with Clause-Final Negative 4
Word Order,Verb-Initial with Clause-Final Negative,NoDoubleNeg,Verb-Initial with Clause-Final Negative 1
Word Order,Verb-Initial with Clause-Final Negative,OnlyWithAnotherNeg,Verb-Initial with Clause-Final Negative 3
Word Order,Verb-Initial with Clause-Final Negative,OptDoubleNeg,Verb-Initial with Clause-Final Negative 2
Word Order,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,None,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object 6
Word Order,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,Suffix&NoDoubleNeg,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object 1
Word Order,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,Suffix&OnlyWithAnotherNeg,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object 4
Word Order,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,Suffix&OptDoubleNeg,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object 3
Word Order,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,Word&OnlyWithAnotherNeg,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object 2
Word Order,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,WordBetweenSAndO,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object 5
Word Order,Verb-Initial with Preverbal Negative,No preverbal neg,Verb-Initial with Preverbal Negative 9
Word Order,Verb-Initial with Preverbal Negative,Prefix&OnlyWithAnotherNeg,Verb-Initial with Preverbal Negative 6
Word Order,Verb-Initial with Preverbal Negative,Prefix&OptDoubleNeg,Verb-Initial with Preverbal Negative 4
Word Order,Verb-Initial with Preverbal Negative,"Prefix, no double negation  Prefix&NoDoubleNeg",Verb-Initial with Preverbal Negative 2
Word Order,Verb-Initial with Preverbal Negative,"Separate word, no double negation  Word&NoDoubleNeg",Verb-Initial with Preverbal Negative 1
Word Order,Verb-Initial with Preverbal Negative,Type 1 / Type 2,Verb-Initial with Preverbal Negative 7
Word Order,Verb-Initial with Preverbal Negative,Type 3 / Type 6,Verb-Initial with Preverbal Negative 8
Word Order,Verb-Initial with Preverbal Negative,Word&OnlyWithAnotherNeg,Verb-Initial with Preverbal Negative 5
Word Order,Verb-Initial with Preverbal Negative,Word&Opt,Verb-Initial with Preverbal Negative 3
